"go_id","term_name"
"GO:0000038","very long-chain fatty acid metabolic process"
"GO:0000045","autophagosome assembly"
"GO:0000050","urea cycle"
"GO:0000070","mitotic sister chromatid segregation"
"GO:0000077","DNA damage checkpoint signaling"
"GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000082","G1/S transition of mitotic cell cycle"
"GO:0000086","G2/M transition of mitotic cell cycle"
"GO:0000132","establishment of mitotic spindle orientation"
"GO:0000165","MAPK cascade"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
"GO:0000209","protein polyubiquitination"
"GO:0000226","microtubule cytoskeleton organization"
"GO:0000244","spliceosomal tri-snRNP complex assembly"
"GO:0000245","spliceosomal complex assembly"
"GO:0000266","mitochondrial fission"
"GO:0000278","mitotic cell cycle"
"GO:0000281","mitotic cytokinesis"
"GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening"
"GO:0000302","response to reactive oxygen species"
"GO:0000338","protein deneddylation"
"GO:0000375","RNA splicing, via transesterification reactions"
"GO:0000380","alternative mRNA splicing, via spliceosome"
"GO:0000381","regulation of alternative mRNA splicing, via spliceosome"
"GO:0000387","spliceosomal snRNP assembly"
"GO:0000398","mRNA splicing, via spliceosome"
"GO:0000413","protein peptidyl-prolyl isomerization"
"GO:0000422","autophagy of mitochondrion"
"GO:0000423","mitophagy"
"GO:0000460","maturation of 5.8S rRNA"
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000712","resolution of meiotic recombination intermediates"
"GO:0000723","telomere maintenance"
"GO:0000724","double-strand break repair via homologous recombination"
"GO:0000727","double-strand break repair via break-induced replication"
"GO:0000731","DNA synthesis involved in DNA repair"
"GO:0000902","cell morphogenesis"
"GO:0000956","nuclear-transcribed mRNA catabolic process"
"GO:0001501","skeletal system development"
"GO:0001502","cartilage condensation"
"GO:0001503","ossification"
"GO:0001508","action potential"
"GO:0001510","RNA methylation"
"GO:0001516","prostaglandin biosynthetic process"
"GO:0001523","retinoid metabolic process"
"GO:0001525","angiogenesis"
"GO:0001541","ovarian follicle development"
"GO:0001556","oocyte maturation"
"GO:0001558","regulation of cell growth"
"GO:0001568","blood vessel development"
"GO:0001569","branching involved in blood vessel morphogenesis"
"GO:0001570","vasculogenesis"
